home;away;weight1;weight2
Sociedad;Logrones;2.0;3.0
Mallorca;Valencia;61.0;63.0
La Coruna;Mallorca;39.0;37.0
Mallorca;Sp Gijon;19.0;15.0
Tenerife;Mallorca;17.0;15.0
Compostela;Mallorca;4.0;4.0
Mallorca;Barcelona;86.0;86.0
Santander;Mallorca;33.0;40.0
Mallorca;Real Madrid;81.0;77.0
Valladolid;Mallorca;37.0;42.0
Mallorca;Ath Bilbao;53.0;58.0
Celta;Mallorca;39.0;41.0
Mallorca;Oviedo;6.0;5.0
Merida;Mallorca;1.0;4.0
Mallorca;Zaragoza;35.0;32.0
Espanol;Mallorca;50.0;54.0
Mallorca;Betis;41.0;48.0
Ath Madrid;Mallorca;40.0;45.0
Mallorca;Salamanca;1.0;2.0
Sociedad;Mallorca;30.0;37.0
Valencia;Mallorca;38.0;42.0
Mallorca;La Coruna;35.0;40.0
Sp Gijon;Mallorca;18.0;15.0
Mallorca;Tenerife;5.0;6.0
Mallorca;Compostela;3.0;1.0
Barcelona;Mallorca;34.0;26.0
Mallorca;Santander;32.0;37.0
Real Madrid;Mallorca;39.0;32.0
Mallorca;Valladolid;32.0;30.0
Ath Bilbao;Mallorca;49.0;49.0
Mallorca;Celta;35.0;35.0
Oviedo;Mallorca;11.0;14.0
Mallorca;Merida;0.0;1.0
Zaragoza;Mallorca;39.0;47.0
Mallorca;Espanol;48.0;54.0
Betis;Mallorca;39.0;42.0
Mallorca;Ath Madrid;48.0;48.0
Salamanca;Mallorca;3.0;8.0
Mallorca;Sociedad;41.0;55.0
Alaves;Betis;27.0;38.0
Real Madrid;Villareal;1.0;0.0
Villareal;Celta;5.0;4.0
Oviedo;Alaves;10.0;8.0
Alaves;Zaragoza;13.0;14.0
Valencia;Villareal;1.0;3.0
Tenerife;Alaves;8.0;12.0
Villareal;Salamanca;1.0;3.0
Alaves;Santander;13.0;17.0
Espanol;Villareal;3.0;2.0
Villareal;Sociedad;2.0;2.0
Mallorca;Alaves;14.0;10.0
Alaves;Extremadura;2.0;6.0
Oviedo;Villareal;0.0;2.0
Ath Madrid;Alaves;14.0;19.0
Villareal;Tenerife;7.0;4.0
Alaves;Real Madrid;66.0;59.0
Mallorca;Villareal;0.0;0.0
La Coruna;Alaves;20.0;26.0
Villareal;Ath Madrid;3.0;1.0
Alaves;Celta;34.0;37.0
La Coruna;Villareal;2.0;0.0
Salamanca;Extremadura;2.0;1.0
Villareal;Alaves;2.0;3.0
Alaves;Valencia;40.0;45.0
Villareal;Valladolid;2.0;3.0
Barcelona;Villareal;5.0;3.0
Valladolid;Alaves;28.0;33.0
Alaves;Salamanca;1.0;3.0
Villareal;Ath Bilbao;3.0;6.0
Barcelona;Alaves;19.0;16.0
Betis;Villareal;4.0;0.0
Extremadura;Mallorca;2.0;3.0
Alaves;Espanol;22.0;28.0
Villareal;Zaragoza;5.0;4.0
Alaves;Ath Bilbao;35.0;45.0
Santander;Villareal;5.0;6.0
Sociedad;Alaves;24.0;29.0
Villareal;Extremadura;3.0;2.0
Betis;Alaves;19.0;23.0
Villareal;Real Madrid;6.0;6.0
Alaves;Oviedo;7.0;8.0
Celta;Villareal;2.0;1.0
Villareal;Valencia;1.0;3.0
Zaragoza;Alaves;10.0;14.0
Alaves;Tenerife;2.0;0.0
Salamanca;Villareal;5.0;3.0
Santander;Alaves;12.0;11.0
Villareal;Espanol;3.0;2.0
Alaves;Mallorca;28.0;34.0
Sociedad;Villareal;2.0;2.0
Extremadura;Alaves;0.0;0.0
Villareal;Oviedo;0.0;2.0
Alaves;Ath Madrid;26.0;37.0
Tenerife;Villareal;4.0;1.0
Real Madrid;Alaves;18.0;11.0
Villareal;Mallorca;3.0;6.0
Alaves;La Coruna;23.0;20.0
Ath Madrid;Villareal;4.0;4.0
Celta;Alaves;24.0;31.0
Extremadura;Salamanca;3.0;4.0
Villareal;La Coruna;4.0;6.0
Alaves;Villareal;3.0;3.0
Valencia;Alaves;22.0;24.0
Valladolid;Villareal;2.0;3.0
Alaves;Valladolid;15.0;12.0
Villareal;Barcelona;4.0;3.0
Ath Bilbao;Villareal;0.0;0.0
Salamanca;Alaves;1.0;3.0
Alaves;Barcelona;60.0;52.0
Mallorca;Extremadura;1.0;3.0
Villareal;Betis;8.0;6.0
Espanol;Alaves;19.0;31.0
Zaragoza;Villareal;1.0;1.0
Ath Bilbao;Alaves;20.0;24.0
Villareal;Santander;1.0;0.0
Alaves;Sociedad;33.0;38.0
Extremadura;Villareal;3.0;2.0
Malaga;Espanol;47.0;51.0
Numancia;Valladolid;7.0;8.0
Alaves;Malaga;12.0;15.0
Real Madrid;Numancia;8.0;4.0
Vallecano;Mallorca;30.0;34.0
Malaga;Betis;34.0;40.0
Mallorca;Numancia;7.0;3.0
Valladolid;Malaga;21.0;24.0
Numancia;Ath Bilbao;11.0;15.0
Malaga;Real Madrid;81.0;83.0
La Coruna;Numancia;7.0;8.0
Numancia;Malaga;14.0;13.0
Alaves;Sevilla;28.0;37.0
Malaga;Ath Bilbao;44.0;47.0
