home;away;weight1;weight2
Santos;Sao Caetano;1.0;1.0
Novorizontino;RB Brasil;10.0;12.0
RB Brasil;Corinthians;6.0;6.0
Sao Caetano;Sao Bento;2.0;2.0
Bragantino;Novorizontino;2.0;2.0
Botafogo SP;Linense;2.0;5.0
Linense;Santo Andre;0.0;0.0
Sao Caetano;Botafogo SP;5.0;8.0
Bragantino;Sao Caetano;6.0;2.0
Sao Caetano;Sao Paulo;12.0;10.0
Ferroviaria;RB Brasil;7.0;7.0
Uniao Barbarense;Piracicaba;1.0;1.0
Linense;Guarani;1.0;0.0
Atl. Sorocaba;Sao Caetano;2.0;3.0
Paulista;Corinthians;2.0;4.0
Bragantino;Linense;4.0;7.0
Piracicaba;Paulista;1.0;1.0
Mirassol;Uniao Barbarense;2.0;3.0
Sao Paulo;Atl. Sorocaba;1.0;0.0
Oeste;Sao Caetano;2.0;1.0
Linense;Ituano;7.0;9.0
Paulista;Uniao Barbarense;0.0;0.0
Paulista;Mirassol;1.0;1.0
Sao Caetano;Linense;2.0;3.0
Sao Bernardo;Sao Caetano;1.0;0.0
Atl. Sorocaba;Uniao Barbarense;0.0;0.0
Penapolense;Uniao Barbarense;1.0;0.0
Paulista;Oeste;2.0;4.0
Guarani;Sao Caetano;2.0;0.0
Palmeiras;Atl. Sorocaba;1.0;0.0
Corinthians;Sao Caetano;3.0;2.0
Uniao Barbarense;Botafogo SP;1.0;1.0
Oeste;Mirassol;3.0;4.0
Santos;Paulista;3.0;3.0
Penapolense;Atl. Sorocaba;1.0;1.0
Uniao Barbarense;Mogi Mirim;2.0;3.0
Piracicaba;Guarani;3.0;3.0
Sao Bernardo;Paulista;0.0;1.0
Atl. Sorocaba;Linense;3.0;3.0
Mirassol;Sao Caetano;2.0;3.0
Palmeiras;Uniao Barbarense;0.0;0.0
Piracicaba;Mirassol;2.0;1.0
Oeste;Uniao Barbarense;0.0;0.0
Guarani;Mogi Mirim;2.0;3.0
Uniao Barbarense;Bragantino;0.0;1.0
Penapolense;Paulista;1.0;0.0
Ponte Preta;Sao Caetano;2.0;0.0
Atl. Sorocaba;Santos;4.0;6.0
Palmeiras;Paulista;2.0;0.0
Ituano;Piracicaba;3.0;0.0
Santos;Guarani;5.0;4.0
Bragantino;Penapolense;2.0;0.0
Corinthians;Uniao Barbarense;0.0;0.0
Sao Caetano;Palmeiras;6.0;7.0
Ponte Preta;Atl. Sorocaba;2.0;3.0
Paulista;Botafogo SP;5.0;4.0
