home,away,weight1,weight2
River Plate-URU,Palmeiras,4.0,4.0
Rosario Central,Nacional (URU),3.0,4.0
Nacional (URU),River Plate-URU,3.0,5.0
Palmeiras,Rosario Central,4.0,3.0
Rosario Central,River Plate-URU,3.0,3.0
Palmeiras,Nacional (URU),6.0,7.0
River Plate-URU,Rosario Central,9.0,6.0
Nacional (URU),Palmeiras,6.0,3.0
Rosario Central,Palmeiras,4.0,2.0
River Plate-URU,Nacional (URU),3.0,2.0
Nacional (URU),Rosario Central,4.0,6.0
Palmeiras,River Plate-URU,3.0,4.0
Racing Club,Bolívar,1.0,0.0
Deportivo Cali,Boca Juniors,2.0,4.0
Boca Juniors,Racing Club,4.0,4.0
Bolívar,Deportivo Cali,0.0,0.0
Bolívar,Boca Juniors,3.0,2.0
Deportivo Cali,Racing Club,5.0,2.0
Boca Juniors,Bolívar,2.0,0.0
Racing Club,Deportivo Cali,3.0,3.0
Racing Club,Boca Juniors,5.0,6.0
Deportivo Cali,Bolívar,2.0,1.0
Boca Juniors,Deportivo Cali,4.0,3.0
Bolívar,Racing Club,1.0,2.0
Sporting Cristal,Peñarol,2.0,2.0
Huracán,Atlético Nacional,4.0,5.0
Peñarol,Huracán,2.0,4.0
Atlético Nacional,Sporting Cristal,7.0,6.0
Atlético Nacional,Peñarol,1.0,3.0
Sporting Cristal,Huracán,3.0,1.0
Peñarol,Atlético Nacional,7.0,6.0
Huracán,Sporting Cristal,6.0,3.0
Huracán,Peñarol,1.0,2.0
Sporting Cristal,Atlético Nacional,3.0,4.0
Peñarol,Sporting Cristal,5.0,4.0
Atlético Nacional,Huracán,7.0,4.0
Melgar,Atlético-MG,4.0,7.0
Independiente del Valle,Colo-Colo,5.0,4.0
Colo-Colo,Melgar,4.0,3.0
Atlético-MG,Independiente del Valle,5.0,4.0
Melgar,Independiente del Valle,1.0,4.0
Independiente del Valle,Melgar,0.0,0.0
Independiente del Valle,Atlético-MG,3.0,1.0
Melgar,Colo-Colo,6.0,6.0
Atlético-MG,Melgar,2.0,3.0
Colo-Colo,Independiente del Valle,3.0,4.0
Toluca,Grêmio,0.0,0.0
LDU,San Lorenzo,3.0,3.0
San Lorenzo,Toluca,2.0,2.0
Grêmio,LDU,0.0,1.0
LDU,Toluca,6.0,6.0
Toluca,LDU,1.0,1.0
Toluca,San Lorenzo,2.0,0.0
LDU,Grêmio,7.0,7.0
San Lorenzo,LDU,3.0,4.0
Grêmio,Toluca,5.0,6.0
Deportivo Táchira,Olimpia-PAR,3.0,0.0
Pumas,Emelec,4.0,4.0
Emelec,Deportivo Táchira,5.0,7.0
Olimpia-PAR,Pumas,3.0,6.0
Emelec,Olimpia-PAR,3.0,1.0
Deportivo Táchira,Pumas,1.0,1.0
Olimpia-PAR,Emelec,3.0,3.0
Pumas,Deportivo Táchira,2.0,1.0
Deportivo Táchira,Emelec,6.0,6.0
Pumas,Olimpia-PAR,3.0,0.0
Olimpia-PAR,Deportivo Táchira,4.0,4.0
Emelec,Pumas,5.0,6.0
Cobresal,Corinthians,3.0,7.0
Cerro Porteño,Cobresal,2.0,0.0
Corinthians,Ind. Santa Fe,1.0,1.0
Cobresal,Ind. Santa Fe,6.0,6.0
Cerro Porteño,Corinthians,4.0,3.0
Ind. Santa Fe,Cobresal,2.0,3.0
Corinthians,Cerro Porteño,10.0,6.0
Ind. Santa Fe,Corinthians,3.0,1.0
Cobresal,Cerro Porteño,2.0,3.0
Corinthians,Cobresal,4.0,3.0
Independiente del Valle,Atlético Nacional,5.0,4.0
Atlético Nacional,Independiente del Valle,6.0,6.0
São Paulo,Atlético Nacional,4.0,4.0
Atlético Nacional,São Paulo,4.0,6.0
Independiente del Valle,Boca Juniors,4.0,4.0
Boca Juniors,Independiente del Valle,3.0,3.0
Rosario Central,Atlético Nacional,5.0,6.0
Atlético Nacional,Rosario Central,5.0,3.0
Independiente del Valle,Pumas,3.0,3.0
Pumas,Independiente del Valle,7.0,3.0
Grêmio,Rosario Central,4.0,6.0
Rosario Central,Grêmio,2.0,2.0
Racing Club,Atlético-MG,3.0,4.0
Atlético-MG,Racing Club,3.0,3.0
São Paulo,Toluca,1.0,0.0
Toluca,São Paulo,4.0,3.0
Independiente del Valle,River Plate,1.0,3.0
River Plate,Independiente del Valle,2.0,3.0
Nacional (URU),Corinthians,0.0,1.0
Corinthians,Nacional (URU),3.0,5.0
Cerro Porteño,Boca Juniors,3.0,6.0
Boca Juniors,Cerro Porteño,2.0,1.0
Botafogo,Estudiantes,3.0,3.0
Atlético Nacional,Botafogo,2.0,3.0
Barcelona-EQU,Botafogo,3.0,1.0
