home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Paris Saint-Germain,Lille OSC,0,1,0.0,1.0,0.0,1,3.0
RC Lens,Olympique Lyon,1,1,0.0,0.0,1.0,1,1.0
Angers SCO,Montpellier HSC,1,1,0.0,0.0,1.0,1,1.0
Girondins Bordeaux,RC Strasbourg,2,3,0.0,1.0,0.0,3,3.0
FC Lorient,Stade Brest,1,0,1.0,0.0,0.0,0,0.0
FC Nantes,OGC Nice,1,2,0.0,1.0,0.0,2,3.0
Stade Reims,Stade Rennes,2,2,0.0,0.0,1.0,2,1.0
Nîmes Olympique,AS Saint-Étienne,0,2,0.0,1.0,0.0,2,3.0
Olympique Marseille,Dijon FCO,2,0,1.0,0.0,0.0,0,0.0
FC Metz,Lille OSC,0,2,0.0,1.0,0.0,2,3.0
RC Strasbourg,Paris Saint-Germain,1,4,0.0,1.0,0.0,4,3.0
Montpellier HSC,Olympique Marseille,3,3,0.0,0.0,1.0,3,1.0
Stade Rennes,FC Nantes,1,0,1.0,0.0,0.0,0,0.0
Stade Brest,Nîmes Olympique,1,1,0.0,0.0,1.0,1,1.0
RC Lens,FC Lorient,4,1,1.0,0.0,0.0,1,0.0
OGC Nice,Stade Reims,0,0,0.0,0.0,1.0,0,1.0
AS Saint-Étienne,Girondins Bordeaux,4,1,1.0,0.0,0.0,1,0.0
AS Monaco,Dijon FCO,3,0,1.0,0.0,0.0,0,0.0
Olympique Lyon,Angers SCO,3,0,1.0,0.0,0.0,0,0.0
Lille OSC,Montpellier HSC,1,1,0.0,0.0,1.0,1,1.0
Angers SCO,Stade Rennes,0,3,0.0,1.0,0.0,3,3.0
Olympique Marseille,FC Lorient,3,2,1.0,0.0,0.0,2,0.0
Paris Saint-Germain,AS Saint-Étienne,3,2,1.0,0.0,0.0,2,0.0
Stade Brest,RC Lens,1,1,0.0,0.0,1.0,1,1.0
Dijon FCO,OGC Nice,2,0,1.0,0.0,0.0,0,0.0
Nîmes Olympique,RC Strasbourg,1,1,0.0,0.0,1.0,1,1.0
Stade Reims,FC Metz,0,0,0.0,0.0,1.0,0,1.0
Girondins Bordeaux,AS Monaco,0,3,0.0,1.0,0.0,3,3.0
FC Nantes,Olympique Lyon,1,2,0.0,1.0,0.0,2,3.0
Stade Reims,Olympique Marseille,1,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Stade Brest,1,2,0.0,1.0,0.0,2,3.0
FC Metz,Paris Saint-Germain,1,3,0.0,1.0,0.0,3,3.0
OGC Nice,Montpellier HSC,3,1,1.0,0.0,0.0,1,0.0
RC Lens,Nîmes Olympique,2,1,1.0,0.0,0.0,1,0.0
FC Lorient,Girondins Bordeaux,4,1,1.0,0.0,0.0,1,0.0
Stade Rennes,Dijon FCO,5,1,1.0,0.0,0.0,1,0.0
RC Strasbourg,FC Nantes,1,2,0.0,1.0,0.0,2,3.0
Angers SCO,AS Monaco,0,1,0.0,1.0,0.0,1,3.0
Olympique Lyon,Lille OSC,2,3,0.0,1.0,0.0,3,3.0
